Crash_ID,State,Crash_Type,Road_User,Year,Age,Gender
20211122,NSW,Single,Driver,2021,74,Male
20211067,NSW,Single,Driver,2021,66,Male
20211017,NSW,Multiple,Driver,2021,71,Male
20211131,NSW,Single,Driver,2021,25,Male
20211185,NSW,Multiple,Driver,2021,46,Male
20211016,NSW,Multiple,Driver,2021,38,Male
20211092,NSW,Multiple,Driver,2021,77,Male
20211183,NSW,Multiple,Motorcycle rider,2021,78,Male
20211148,NSW,Single,Driver,2021,24,Male
20211129,NSW,Multiple,Driver,2021,28,Male
20211188,NSW,Single,Driver,2021,33,Male
20211177,NSW,Multiple,Driver,2021,28,Male
20211054,NSW,Multiple,Motorcycle rider,2021,42,Male
20211186,NSW,Single,Pedal cyclist,2021,59,Male
20211022,NSW,Single,Motorcycle rider,2021,47,Male
20211163,NSW,Single,Driver,2021,52,Male
20211047,NSW,Single,Driver,2021,16,Male
20211098,NSW,Multiple,Driver,2021,35,Male
20211029,NSW,Single,Motorcycle rider,2021,21,Male
20211015,NSW,Single,Driver,2021,18,Male
20211134,NSW,Single,Driver,2021,49,Female
20211056,NSW,Multiple,Driver,2021,50,Male
20211064,NSW,Multiple,Motorcycle rider,2021,72,Male
20211106,NSW,Single,Motorcycle rider,2021,66,Male
20211167,NSW,Multiple,Driver,2021,44,Male
20211030,NSW,Single,Driver,2021,59,Male
20211164,NSW,Single,Driver,2021,48,Male
20211037,NSW,Multiple,Driver,2021,44,Male
20211005,NSW,Single,Motorcycle rider,2021,50,Male
20211146,NSW,Single,Driver,2021,57,Male
20211149,NSW,Single,Motorcycle rider,2021,69,Male
20211133,NSW,Single,Driver,2021,68,Female
20211077,NSW,Multiple,Motorcycle rider,2021,29,Male
20211103,NSW,Single,Driver,2021,49,Male
20211037,NSW,Multiple,Driver,2021,34,Male
20211079,NSW,Single,Driver,2021,38,Female
20211099,NSW,Multiple,Pedal cyclist,2021,40,Male
20211027,NSW,Single,Driver,2021,73,Male
20211174,NSW,Single,Driver,2021,72,Female
20211084,NSW,Multiple,Driver,2021,19,Male
20211038,NSW,Multiple,Driver,2021,18,Female
20211115,NSW,Single,Motorcycle rider,2021,31,Male
20218007,ACT,Multiple,Driver,2021,19,Male
20218002,ACT,Multiple,Driver,2021,78,Female
20214021,SA,Single,Motorcycle rider,2021,39,Male
20214060,SA,Multiple,Driver,2021,23,Male
20214001,SA,Single,Motorcycle rider,2021,54,Male
20214043,SA,Single,Driver,2021,23,Male
20214061,SA,Single,Driver,2021,18,Male
20214066,SA,Single,Driver,2021,63,Male
20214036,SA,Single,Driver,2021,56,Male
20214018,SA,Single,Driver,2021,52,Male
20214024,SA,Single,Driver,2021,62,Female
20214033,SA,Multiple,Motorcycle rider,2021,45,Male
20214006,SA,Multiple,Motorcycle rider,2021,16,Male
20214026,SA,Single,Driver,2021,53,Male
20214005,SA,Single,Driver,2021,58,Male
20214052,SA,Multiple,Driver,2021,61,Female
20214035,SA,Multiple,Motorcycle rider,2021,68,Male
20214039,SA,Single,Driver,2021,80,Male
20214046,SA,Single,Driver,2021,85,Male
20214068,SA,Single,Driver,2021,30,Male
20214064,SA,Single,Driver,2021,19,Male
20214017,SA,Multiple,Pedal cyclist,2021,60,Male
20214027,SA,Single,Motorcycle rider,2021,20,Male
20214009,SA,Single,Motorcycle rider,2021,36,Male
20214016,SA,Multiple,Driver,2021,67,Male
20214028,SA,Single,Motorcycle rider,2021,25,Male
20217010,NT,Multiple,Pedal cyclist,2021,57,Male
20217023,NT,Multiple,Driver,2021,74,Female
20217015,NT,Single,Motorcycle rider,2021,32,Male
20217009,NT,Single,Driver,2021,28,Male
20217003,NT,Single,Motorcycle rider,2021,31,Male
20216011,Tas,Single,Motorcycle rider,2021,55,Male
20216017,Tas,Multiple,Motorcycle rider,2021,58,Male
20216024,Tas,Multiple,Pedal cyclist,2021,4,Male
20203107,Qld,Single,Driver,2020,29,Male
20203234,Qld,Single,Driver,2020,26,Male
20203036,Qld,Single,Motorcycle rider,2020,47,Male
20203080,Qld,Multiple,Driver,2020,66,Female
20203205,Qld,Single,Driver,2020,28,Male
20203123,Qld,Multiple,Driver,2020,62,Female
20203137,Qld,Multiple,Motorcycle rider,2020,28,Male
20203074,Qld,Multiple,Driver,2020,61,Male
20203108,Qld,Multiple,Driver,2020,44,Female
20203110,Qld,Single,Driver,2020,70,Male
20203068,Qld,Multiple,Driver,2020,70,Female
20203097,Qld,Single,Driver,2020,65,Male
20203104,Qld,Single,Driver,2020,21,Male
20203149,Qld,Multiple,Driver,2020,81,Male
20203009,Qld,Multiple,Driver,2020,76,Male
20203078,Qld,Single,Driver,2020,48,Male
20203021,Qld,Single,Driver,2020,34,Male
20203102,Qld,Multiple,Driver,2020,78,Male
20203191,Qld,Single,Driver,2020,18,Male
20203150,Qld,Single,Driver,2020,35,Female
20203051,Qld,Multiple,Driver,2020,27,Male
20203057,Qld,Single,Driver,2020,19,Male
20203083,Qld,Multiple,Driver,2020,23,Male
20203006,Qld,Multiple,Motorcycle rider,2020,53,Male
20203194,Qld,Multiple,Motorcycle rider,2020,53,Male
20203148,Qld,Multiple,Motorcycle rider,2020,54,Male
20203233,Qld,Multiple,Motorcycle rider,2020,29,Male
20203186,Qld,Multiple,Motorcycle rider,2020,26,Male
20203018,Qld,Multiple,Motorcycle rider,2020,28,Male
20203101,Qld,Single,Driver,2020,50,Male
20203230,Qld,Multiple,Driver,2020,61,Male
20203067,Qld,Single,Driver,2020,20,Male
20203094,Qld,Multiple,Driver,2020,44,Male
20203230,Qld,Multiple,Driver,2020,39,Male
20203027,Qld,Single,Motorcycle rider,2020,28,Male
20203038,Qld,Multiple,Driver,2020,64,Male
20203165,Qld,Multiple,Driver,2020,84,Female
20203171,Qld,Single,Driver,2020,61,Male
20203223,Qld,Multiple,Driver,2020,34,Male
20203156,Qld,Single,Driver,2020,39,Female
20203095,Qld,Multiple,Motorcycle rider,2020,38,Male
20203122,Qld,Single,Driver,2020,40,Male
20203231,Qld,Single,Motorcycle rider,2020,47,Male
20203062,Qld,Multiple,Motorcycle rider,2020,34,Male
20203086,Qld,Single,Motorcycle rider,2020,45,Male
