,Crash_ID,Counter,Year,State,Crash_Type,Road_User,Gender,Age,Age_Group,Age_Category,Gender_rank,Crash_Type_rank,Road_User_rank
18841,20063201,1,2006,Qld,Multiple,Motorcycle rider,Male,39,26_to_39,37-46 Years,2,2,2
18842,20063132,1,2006,Qld,Single,Driver,Female,37,26_to_39,37-46 Years,1,1,1
18843,20063160,1,2006,Qld,Multiple,Passenger,Female,60,40_to_64,57-66 Years,1,2,4
18844,20063024,1,2006,Qld,Single,Pedestrian,Male,54,40_to_64,47-56 Years,2,1,5
18845,20063171,1,2006,Qld,Single,Pedestrian,Male,88,75_or_older,67+ Years,2,1,5
18846,20063079,1,2006,Qld,Multiple,Driver,Male,72,65_to_74,67+ Years,2,2,1
18847,20063019,1,2006,Qld,Single,Pedestrian,Male,86,75_or_older,67+ Years,2,1,5
18848,20063222,1,2006,Qld,Single,Pedestrian,Male,68,65_to_74,67+ Years,2,1,5
18849,20063193,1,2006,Qld,Single,Driver,Male,29,26_to_39,27-36 Years,2,1,1
18850,20063036,1,2006,Qld,Multiple,Pedal cyclist,Male,47,40_to_64,47-56 Years,2,2,3
18851,20063264,1,2006,Qld,Single,Passenger,Male,0,0_to_16,<16 Years,2,1,4
18852,20064032,1,2006,SA,Single,Driver,Male,46,40_to_64,37-46 Years,2,1,1
18853,20064039,1,2006,SA,Multiple,Pedal cyclist,Male,64,40_to_64,57-66 Years,2,2,3
18854,20064083,1,2006,SA,Single,Motorcycle rider,Male,25,17_to_25,17-26 Years,2,1,2
18855,20064089,1,2006,SA,Single,Passenger,Male,30,26_to_39,27-36 Years,2,1,4
18856,20064089,1,2006,SA,Single,Driver,Male,34,26_to_39,27-36 Years,2,1,1
18857,20064070,1,2006,SA,Multiple,Driver,Male,84,75_or_older,67+ Years,2,2,1
18858,20064096,1,2006,SA,Multiple,Passenger,Male,1,0_to_16,<16 Years,2,2,4
18859,20064070,1,2006,SA,Multiple,Passenger,Female,45,40_to_64,37-46 Years,1,2,4
18860,20064077,1,2006,SA,Multiple,Pedal cyclist,Male,46,40_to_64,37-46 Years,2,2,3
18861,20064096,1,2006,SA,Multiple,Passenger,Male,45,40_to_64,37-46 Years,2,2,4
18862,20064048,1,2006,SA,Single,Driver,Female,18,17_to_25,17-26 Years,1,1,1
18863,20064031,1,2006,SA,Multiple,Driver,Male,78,75_or_older,67+ Years,2,2,1
18864,20064009,1,2006,SA,Multiple,Driver,Male,66,65_to_74,57-66 Years,2,2,1
18865,20064035,1,2006,SA,Multiple,Motorcycle rider,Female,43,40_to_64,37-46 Years,1,2,2
18866,20064044,1,2006,SA,Single,Pedestrian,Male,40,40_to_64,37-46 Years,2,1,5
18867,20064035,1,2006,SA,Multiple,Pedestrian,Female,19,17_to_25,17-26 Years,1,2,5
18868,20064021,1,2006,SA,Single,Driver,Male,48,40_to_64,47-56 Years,2,1,1
18869,20064057,1,2006,SA,Single,Motorcycle rider,Male,26,26_to_39,17-26 Years,2,1,2
18870,20064030,1,2006,SA,Single,Driver,Male,26,26_to_39,17-26 Years,2,1,1
18871,20064052,1,2006,SA,Multiple,Motorcycle rider,Male,40,40_to_64,37-46 Years,2,2,2
18872,20064065,1,2006,SA,Multiple,Pedestrian,Male,33,26_to_39,27-36 Years,2,2,5
18873,20064008,1,2006,SA,Single,Passenger,Female,2,0_to_16,<16 Years,1,1,4
18874,20068009,1,2006,ACT,Single,Passenger,Male,24,17_to_25,17-26 Years,2,1,4
18875,20068009,1,2006,ACT,Single,Driver,Male,22,17_to_25,17-26 Years,2,1,1
18876,20068003,1,2006,ACT,Single,Pedestrian,Male,90,75_or_older,67+ Years,2,1,5
18877,20068008,1,2006,ACT,Multiple,Driver,Female,82,75_or_older,67+ Years,1,2,1
18878,20068012,1,2006,ACT,Multiple,Pedal cyclist,Male,33,26_to_39,27-36 Years,2,2,3
18879,20068004,1,2006,ACT,Single,Motorcycle rider,Male,28,26_to_39,27-36 Years,2,1,2
18880,20067024,1,2006,NT,Multiple,Driver,Male,39,26_to_39,37-46 Years,2,2,1
18881,20067032,1,2006,NT,Single,Driver,Male,65,65_to_74,57-66 Years,2,1,1
18882,20067012,1,2006,NT,Multiple,Driver,Male,18,17_to_25,17-26 Years,2,2,1
18883,20067009,1,2006,NT,Multiple,Motorcycle rider,Male,36,26_to_39,27-36 Years,2,2,2
18884,20067015,1,2006,NT,Single,Passenger,Male,18,17_to_25,17-26 Years,2,1,4
18885,20067004,1,2006,NT,Multiple,Pedestrian,Male,43,40_to_64,37-46 Years,2,2,5
18886,20067041,1,2006,NT,Single,Driver,Male,17,17_to_25,17-26 Years,2,1,1
18887,20067019,1,2006,NT,Multiple,Passenger,Female,30,26_to_39,27-36 Years,1,2,4
